# In-game settings: German and English display text. Configuration values remain unchanged.
Alle Items (Standard)	All items (default)
Alle Items	All items
Ansicht zurücksetzen	Reset view
Gedroppt	Dropped
Erweitert	Advanced
Item-Modelle konfigurieren …	Configure item models …
Position, Drehung und Größe pro Item für First Person, Boden und GUI einstellen	Adjust position, rotation and size per item for first person, ground and GUI
Position, Drehung und Größe jedes Items für First Person, Boden und GUI anpassen.	Customize each item's position, rotation and size for first person, ground and GUI.
SKALIERUNG	SCALE
DREHUNG	ROTATION
Kamera	Camera
Kampf	Combat
Umgebung	Environment
Darstellung	Display
Sichtbarkeit	Visibility
Bewegung	Movement
Physik	Physics
Partikel	Particles
Erze	Ores
Warnungen	Warnings
Freunde	Friends
Präzision	Precision
Nachkommastellen	Decimals
Deckkraft	Opacity
Kontur	Outline
Füllung	Fill
Füllfarbe	Fill color
Fülldeckkraft	Fill opacity
Fülldeckkraft %	Fill opacity %
Füllungsalpha	Fill Alpha
Konturalpha	Outline Alpha
Linienstärke	Line width
Linienbreite	Line Width
Hitbox-Farbe	Hitbox color
Augenhöhe	Eye height
Augenfarbe	Eye color
Blickrichtung	Look vector
Blickfarbe	Look color
Nur mit F3+B	Only with F3+B
Spieler	Players
Feindliche Kreaturen	Hostile mobs
Passive Tiere	Passive animals
Projektile	Projectiles
Fallengelassene Items	Dropped items
Regenbogenkontur	Chroma outline
Regenbogen-Hitboxen	Chroma hitboxes
Abbauüberlagerung	Breaking overlay
Abbaurisse	Breaking cracks
Block-Markierung	Highlight Blocks
Maximale Entfernung	Max Distance
Name anzeigen	Show Name
Symbol anzeigen	Show Icon
Koordinaten anzeigen	Show Coordinates
Entfernung anzeigen	Show Distance
Strahl	Beam
Strahlhöhe	Beam Height
Strahldeckkraft	Beam Alpha
Texthintergrund	Text Background
Beschriftungen durch Wände	Labels Through Walls
Markierungen durch Wände	Highlights Through Walls
Minimale Skalierung	Min Scale
Maximale Skalierung	Max Scale
Sichtbare leuchtende Ränder	Glowing borders
Selbstleuchtende Erze	Emissive glowing
Dynamisches Licht	Dynamic Light
Verbundene Adern	Connected veins
Scanradius	Scan radius
Maximale Markierungen	Maximum markers
Blöcke pro Tick	Blocks per tick
Diamant	Diamond
Smaragd	Emerald
Eisen	Iron
Kohle	Coal
Kupfer	Copper
Netherquarz	Nether quartz
Antiker Schrott	Ancient debris
Drehgeschwindigkeit	Rotation speed
Bodendrehung	Ground rotation
Drehung im Flug	Trajectory rotation
Vanilla ab dieser Itemanzahl	Vanilla fallback above items
Flach	Flat
Natürlich	Natural
Rotierend	Rotating
Beide	Both
Versteckt	Hidden
Entfernung allein	Distance only
Regenbogenfarbe	Rainbow (Chroma)
Zeitmodus	Time mode
Eigene Zeit	Custom time
Zyklusgeschwindigkeit	Cycle speed
Wetter	Weather
Tag	Day
Nacht	Night
Sonnenuntergang	Sunset
Regen	Rain
Gewitter	Thunder
Alle Partikel	All particles
Eigene Trankpartikel	Own potion swirls
Explosionen	Explosions
Rauch	Smoke
Regen- / Schneepartikel	Rain / snow particles
Immer kritische Partikel	Always crit particles
Immer Verzauberungspartikel	Always sharpness particles
Kritische Partikel vervielfachen	Crit multiplier
Partikelgeschwindigkeit	Particle speed
Eigene Partikelfarbe	Custom particle tint
Partikelfarbe	Particle color
Nur eigene Pfeile	Own arrows only
Partikeltyp	Particle
Dichte	Density
Intervall in Ticks	Interval ticks
Streuung	Spread
Maximale Reichweite	Maximum range
Flamme	Flame
Empfindlichkeit	Sensitivity
Y-Achse umkehren	Invert Y
Vertikales Blicklimit	Pitch limit
Für freie Sicht halten	Hold to freelook
Zur dritten Person wechseln	Switch to third person
Bewegungsstärke	Movement strength
Windstärke	Wind amplitude
Windgeschwindigkeit	Wind speed
Dämpfung	Damping
Umgebungswind	Ambient wind
Mit Elytra deaktivieren	Disable with elytra
Windig	Windy
Dezent	Subtle
Animationsgeschwindigkeit	Animation speed
Schimmerfarbe	Glint color
Rüstung	Armor
Distanzmultiplikator	End distance multiplier
Nebelbeginn in Prozent	Fog start percent
Wassernebel entfernen	Remove water fog
Lavanebel entfernen	Remove lava fog
Pulverschneenebel entfernen	Remove powder snow fog
Alle Bossleisten ausblenden	Hide all boss bars
Namen ausblenden mit	Hide names containing
Leistenfarbe überschreiben	Override bar color
Leistenfarbe	Bar color
Regenbogenleiste	Rainbow bar
Leere Leistenfarbe	Empty bar color
Namenshintergrund	Name background
Namensschatten	Name shadow
Eigener Name in dritter Person	Own name in third person
Gesundheitsanzeige	Health display
Bekannte maximale HP (0 = unbekannt)	Known max HP (0 = unknown)
Lokaler Clan- / Levelpräfix	Local clan / level prefix
