Minecraft-Versionen	Minecraft versions
Meine Erweiterungen	My extensions
Erweiterungs-Bibliothek	Extension library
Meine Capes	My capes
Cape gestalten	Design cape
Profil verwalten	Manage profile
Sprache geändert	Language changed
Allgemein	General
Alle Spieler	All players
Akzent	Accent
Auflösung	Resolution
Hintergrunddeckkraft	Background Alpha
Beschriftung	Label
Chroma-Effekt	Chroma effect
Chroma-Modus	Chroma mode
Datei	File
Dynamische Warnfarbe	Dynamic warning color
Entity-Typen	Entity types
Erlaubt Amazon Music.	Allows Amazon Music.
Erlaubt Apple Music.	Allows Apple Music.
Erlaubt Cider.	Allows Cider.
Erlaubt Deezer.	Allows Deezer.
Erlaubt SoundCloud.	Allows SoundCloud.
Erlaubt Spotify-Wiedergabe.	Allows Spotify playback.
Erlaubt Tidal.	Allows Tidal.
Erlaubt YouTube und YouTube Music.	Allows YouTube and YouTube Music.
Erlaubt nicht erkannte Medienquellen.	Allows unrecognized media sources.
Farbe	Color
Farben	Colors
Flash-Dauer	Flash duration
Lautstärke	Volume
Karte	Map
Modus	Mode
Präfix	Prefix
Renderstil	Render style
Schadensfarbe	Damage color
Stil	Style
Textfarbe	Text color
Titel	Title
Warnung	Warning
Zeit	Time
Ziel	Target
Standardwerte für alle Items	Defaults for all items
• Individuell angepasst	• Customized
• Standard	• Default
Taste: Keine	Key: None
Taste: 	Key: 
Medien	Media
Suche nach Medien …	Looking for media …
Taste: …	Key: …
Keine Wiedergabe	Nothing playing
